step	train_loss
0	1.7398446798324585
1	1.146385908126831
2	0.83990877866745
3	0.689221203327179
4	0.5662774443626404
5	0.4646427035331726
6	0.4136114716529846
7	0.3831876516342163
8	0.37409278750419617
9	0.2744123637676239
10	0.27242740988731384
11	0.3032555878162384
12	0.23318035900592804
13	0.2366206794977188
14	0.2225773185491562
15	0.205684632062912
16	0.21211715042591095
17	0.17044857144355774
18	0.1734193116426468
19	0.17000114917755127
20	0.16497230529785156
21	0.15059348940849304
22	0.13818387687206268
23	0.13727645576000214
24	0.15668857097625732
25	0.1007407084107399
26	0.11527884751558304
27	0.11270536482334137
28	0.09382794052362442
29	0.10135399550199509
30	0.09899069368839264
31	0.11586351692676544
32	0.07888703793287277
33	0.08212033659219742
34	0.08181271702051163
35	0.07659363001585007
36	0.05750557780265808
37	0.07536084949970245
38	0.0524069145321846
39	0.05896543338894844
40	0.05929742008447647
41	0.05967888981103897
